"domain","routerFile","literalProcedures","frontendCallSites","frontendFiles"
"ndc","server/routers/ndc.ts","cancelPaidService:protectedProcedure;quotePaidService:protectedProcedure;confirmNoChargeService:protectedProcedure;airShopping:publicProcedure;offerPrice:publicProcedure;createOrder:protectedProcedure;retrieveOrder:protectedProcedure;cancelOrder:protectedProcedure;changeOrder:protectedProcedure;addServices:protectedProcedure;listOrders:adminProcedure;getOrderHistory:protectedProcedure;expireOffers:adminProcedure;getStatistics:adminProcedure","2","client/src/components/ModifyBookingDialog.tsx"
"gds","server/routers/gds.ts","createConnection:adminProcedure;updateConnection:adminProcedure;getConnection:adminProcedure;listConnections:adminProcedure;testConnection:adminProcedure;searchAvailability:protectedProcedure;createGdsBooking:protectedProcedure;getMessageLog:adminProcedure;getStatistics:adminProcedure","0",""
"interline","server/routers/interline.ts","createAgreement:adminProcedure;updateAgreement:adminProcedure;getAgreement:adminProcedure;listAgreements:adminProcedure;activate:adminProcedure;terminate:adminProcedure;checkEligibility:protectedProcedure;calculateProrate:adminProcedure;getPartners:publicProcedure","0",""
"suggestions","server/routers/suggestions.ts","forUser:protectedProcedure;popular:publicProcedure;deals:publicProcedure","3","client/src/components/SmartSuggestions.tsx"
"intelligence","server/routers/intelligence.router.ts","getBriefing:adminProcedure;getEconomics:adminProcedure;assessFraud:protectedProcedure;predictDelay:protectedProcedure;getDisruptionForecast:adminProcedure;getGatewayStats:adminProcedure;getModels:adminProcedure;getStatus:adminProcedure;updateConfig:adminProcedure","0",""
"agentGovernance","server/routers/agent-governance.ts","getAiCostBreakdown:adminProcedure;overrideDecision:adminProcedure","1","client/src/pages/admin/SeatEconomics.tsx"
"seatEconomics","server/routers/seat-economics.ts","getByBooking:adminProcedure;getByFlight:adminProcedure","2","client/src/pages/admin/SeatEconomics.tsx"
"priceQuote","server/routers/price-quote.ts","createOffer:protectedProcedure;get:publicProcedure","1","client/src/pages/BookingPage.tsx"
"boardingPass","server/routers/boarding-pass.ts","issue:protectedProcedure;verify:publicProcedure","0",""
"webhooks","server/routers/webhooks.ts","stripe:publicProcedure;test:publicProcedure","0",""
